Informazioni cronologiche	Genere 	Età	Ruolo al interno della scuola 	Quanto tempo trascorri in media giocando ai videogiochi ogni giorno?	Quale stile di videogioco preferisci di più?	Credi che i videogiochi siano una forma d'arte?	Se hai premuto "Dipende" puoi specificare qui	C’è un videogioco che ti ha insegnato qualcosa di utile per la tua formazione scolastica e professionale?”  	Se hai premuto “Sì” scrivi quale videogioco ti è stato più utile 	 Qual è il dispositivo che preferisci utilizzare per giocare?	Se hai premuto "Altro" rispondi qui 	 Quali videogiochi ritieni ti abbiano arricchito culturalmente riguardo alla mitologia o alla storia?	Se hai premuto "Altro" rispondi qui 	Pensi che sia possibile utilizzare i videogiochi che non sono stati concepiti per scopi didattici come strumenti formativi?	Se hai premuto "Dipende" puoi specificare qui	 Credi che i videogiochi online possano facilitare la connessione tra le persone e offrire un'alternativa alla socialità tradizionale?	Sei hai premuto "Dipende" puoi specificare qui 	Pensi che un videogioco ti abbia ispirato ad approfondire conoscenze su un argomento ( per esempio letterario, culturale, storico, sociale, scientifico, artistico, o ecc.) ?	Hai mai imparato un'altra lingua o migliorato le tue competenze linguistiche grazie ai videogiochi, sia online che in modalità single player?	Sei hai premuto Altro specifica qui	Secondo te, è possibile paragonare l'importanza narrativa di un videogioco a quella di media più tradizionali come libri, film o prodotti di animazione?  	Solo professori: Quale è la vostra opinione sui videogiochi? Li considerate principalmente una perdita di tempo o credete che abbiano anche dei lati positivi da prendere in considerazione?	Solo per i professori: Vi siete mai interessati al medium videoludico al di là delle notizie sui giornali, telegiornali o simili?	Solo per studenti: Hai notato una tendenza nella tua scuola dove alcuni professori denigrano il medium videoludico o mostrano riluttanza nei confronti di questo tipo di medium?	Frequenti amici che non usano videogiochi o preferisci la compagnia di chi condivide come te questa passione?
04/06/2024 8.19.00	Uomo	Generazione Z (1997-2012)	Studente	1-2 ore	Entrambi	Si		Si	Assasin’s creed origins	Console, PC, VR, Smartphone /Tablet		Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)		Si		Si		Si	Si ho imparato un'altra lingua		Si			Si	Non ho preferenze
04/06/2024 8.19.31	Uomo	Generazione Z (1997-2012)	Studente	7>	Entrambi	Dipende (specifica)		Si		PC		Assassin's creed (saga), Age of Empire		Si		Si		Si	Si ho imparato un'altra lingua		Si			Si	Non ho preferenze
04/06/2024 8.19.32	Uomo	Generazione Z (1997-2012)	Studente	1-2 ore	Multiplayer Online	No		Non saprei		PC		Nessuno		Si		Si		Si	Ho potenziato le conoscenze di un altra lingua		Si			Si	Non ho preferenze
04/06/2024 8.19.36	Donna	Generazione Z (1997-2012)	Studente	Mai	Nessuno	No		No		Non gioco ai Videogiochi		Nessuno		No		No		No	No non gioco ai videogiochi		No			No	Non ho preferenze
04/06/2024 8.19.49	Uomo	Generazione Z (1997-2012)	Studente	Meno di un’ora	Entrambi	No		No		Console		Nessuno		No		No		No	No non ho imparato un altra lingua		Si		No	No	Non ho preferenze
04/06/2024 8.19.59	Uomo	Generazione Z (1997-2012)	Studente	Meno di un’ora	Entrambi	Si		No		Console		Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)		Si		Si		Si	Ho potenziato le conoscenze di un altra lingua		No			No	Preferisco la compagnia di chi videogioca
04/06/2024 8.20.31	Uomo	Generazione Z (1997-2012)	Studente	Meno di un’ora	Multiplayer Online	Si		Non saprei		Console, Smartphone /Tablet		Nessuno		Si		Si		No	Altro (Specifica)	ho imparato alcuni termini	No			Si	Non ho preferenze
04/06/2024 8.20.51	Uomo	Generazione Z (1997-2012)	Studente	2-3 ore	Entrambi	Si		No		Console, PC, VR, Smartphone /Tablet		Assassin's creed (saga), God of War (saga Greca)		No		Si		No	Si ho imparato un'altra lingua		Si			Non ho visto astio ne interesse	Preferisco la compagnia di chi videogioca
04/06/2024 8.21.07	Uomo	Generazione Alpha (2013- in poi)	Studente	Non gioco regolarmente	Entrambi	Dipende (specifica)	Alcuni Videogiochi hanno una forma d’arte mentre altri non c’è l’hanno	Non saprei		Console, Smartphone /Tablet		Nessuno		No		No		No	No non ho imparato un altra lingua		No			Non ho visto astio ne interesse	Non ho preferenze
04/06/2024 8.21.07	Uomo	Generazione Z (1997-2012)	Studente	1-2 ore	Entrambi	Si		Non saprei		Altro	playstation	God of War (saga Greca)		Si		Mi astengo dal giudizio		Si	Si ho imparato un'altra lingua		No			Non ho visto astio ne interesse	Non ho preferenze
04/06/2024 8.21.30	Uomo	Generazione Z (1997-2012)	Studente	1-2 ore	Entrambi	No		Non saprei		Console		Nessuno		No		Si		No	Si ho imparato un'altra lingua		No			No	Non ho preferenze
04/06/2024 8.22.24	Donna	Generazione Z (1997-2012)	Studente	1-2 ore	Entrambi	No		Non saprei		Smartphone /Tablet		Nessuno		No		Mi astengo dal giudizio		No	No non ho imparato un altra lingua		No			Non ho visto astio ne interesse	Non ho preferenze
04/06/2024 8.22.24	Donna	Generazione Z (1997-2012)	Studente	1-2 ore	Multiplayer Online	No		No		Smartphone /Tablet		Nessuno		Si		No		Si	Ho potenziato le conoscenze di un altra lingua		No			Si	Non ho preferenze
04/06/2024 8.22.38	Uomo	Generazione Z (1997-2012)	Studente	1-2 ore	Entrambi	No		No		Console		Nessuno		No		Si		No	Si ho imparato un'altra lingua		No			No	Non ho preferenze
04/06/2024 8.23.00	Uomo	Generazione Z (1997-2012)	Studente	Non gioco regolarmente	Entrambi	Si	no	Non saprei		Console, PC, Smartphone /Tablet		Altro (specifica)	fortnite, fifa	Si	no	Si	no	Si	Ho potenziato le conoscenze di un altra lingua		No	spaccano	Si	No	Non ho preferenze
04/06/2024 8.23.37	Uomo	Generazione Z (1997-2012)	Studente	2-3 ore	Entrambi	No		Non saprei		Console		Assassin's creed (saga)		Si		Mi astengo dal giudizio		Si	No non ho imparato un altra lingua		No			No	Non ho preferenze
04/06/2024 8.25.04	Uomo	Generazione Z (1997-2012)	Studente	2-3 ore	Entrambi	Si		Non saprei		Smartphone /Tablet		God of war (saga norrena)		Si		Si		No	Ho potenziato le conoscenze di un altra lingua		Si				Non ho preferenze
04/06/2024 8.26.40	Uomo	Generazione Z (1997-2012)	Studente	2-3 ore	Entrambi	No		No		Console, Console portatili, Smartphone /Tablet		Assassin's creed (saga), Altro (specifica)	For Honor e Call of Duty ww2	No		Si		Si	Ho potenziato le conoscenze di un altra lingua		Si			No	Non ho preferenze
04/06/2024 8.35.45	Donna	Generazione X (1965-1980)	Professore	Mai	Nessuno	No		No		Non gioco ai Videogiochi		Nessuno		No		No		No	No non gioco ai videogiochi		Si	Hanno dei lati positivi ma possono creare dipendenza	Non gioco ai videogiochi		Non gioco ai videogiochi
04/06/2024 8.36.04	Donna	Generazione Z (1997-2012)	Studente	2-3 ore	Entrambi	Si		Non saprei		Console, Console portatili, Smartphone /Tablet		Assassin's creed (saga), Altro (specifica)	Brawl Stars	Si		Si		Si	Si ho imparato un'altra lingua		Si			Si	Non ho preferenze
04/06/2024 8.36.35	Uomo	Generazione Z (1997-2012)	Studente	4-6 ore	Multiplayer Online	Si		Si	Battlefield V	PC, Smartphone /Tablet		Assassin's creed (saga), Altro (specifica)	Battlefield V, Call Of Duty MWII, Call Of Duty WW2	No		Dipende (specifica)		No	Ho potenziato le conoscenze di un altra lingua		Si		Si	No	Preferisco la compagnia di chi videogioca
04/06/2024 8.37.18	Donna	Generazione Z (1997-2012)	Studente	Mai	Nessuno	No		No		Non gioco ai Videogiochi		Nessuno		No		No		No	No non gioco ai videogiochi		No			No	Preferisco la compagnia di chi non videogioca
04/06/2024 8.37.41	Donna	Generazione Z (1997-2012)	Studente	Meno di un’ora	Nessuno	Si		No		Non gioco ai Videogiochi		Nessuno		No		Mi astengo dal giudizio		Si	No non gioco ai videogiochi		No			Non ho visto astio ne interesse	Preferisco la compagnia di chi non videogioca
04/06/2024 8.37.43	Donna	Generazione Z (1997-2012)	Studente	Non gioco regolarmente	Multiplayer Online	Si		Non saprei		Smartphone /Tablet		God of War (saga Greca), Age of Empire		No		Mi astengo dal giudizio		Si	Ho potenziato le conoscenze di un altra lingua		Si			Non ho visto astio ne interesse	Non ho preferenze
04/06/2024 8.37.44	Donna	Generazione Z (1997-2012)	Studente	2-3 ore	Multiplayer Online	Si		Si	Call Of Duty 	Console, PC, Smartphone /Tablet		Assassin's creed (saga), Age of Empire		No		Si		Si	Ho potenziato le conoscenze di un altra lingua		No			No	Preferisco la compagnia di chi videogioca
04/06/2024 8.37.46	Donna	Generazione Z (1997-2012)	Studente	Meno di un’ora	Multiplayer Online	Si		No		Console		Nessuno		Si		No		No	Ho potenziato le conoscenze di un altra lingua		Si			Si	Non ho preferenze
04/06/2024 8.37.47	Donna	Generazione Z (1997-2012)	Studente	Meno di un’ora	Entrambi	Si		Non saprei		Smartphone /Tablet		Nessuno		No		Mi astengo dal giudizio		No	Si ho imparato un'altra lingua		No			No	Preferisco la compagnia di chi non videogioca
04/06/2024 8.38.18	Donna	Generazione Z (1997-2012)	Studente	Meno di un’ora	Entrambi	Si		Non saprei		Console, PC, Smartphone /Tablet		God of War (saga Greca), God of war (saga norrena), Altro (specifica)	warframe	Si		Si		Si	Ho potenziato le conoscenze di un altra lingua		Si			Non ho visto astio ne interesse	Preferisco la compagnia di chi videogioca
04/06/2024 8.38.22	Donna	Generazione Z (1997-2012)	Studente	Non gioco regolarmente	Nessuno	No		No		Non gioco ai Videogiochi		Nessuno		No		No		Si	No non gioco ai videogiochi		No			No	Preferisco la compagnia di chi non videogioca
04/06/2024 9.03.12	Donna	Generazione Z (1997-2012)	Studente	Non gioco regolarmente	Entrambi	No		No		Smartphone /Tablet		Nessuno		Si		Si		No	Ho potenziato le conoscenze di un altra lingua		Si			Non ho visto astio ne interesse	Non gioco ai videogiochi
04/06/2024 10.08.47	Preferisco non specificarlo	Generazione Z (1997-2012)	Studente	7>	Entrambi	Si		Si	Quasi tutti i giochi, giocandoli in inglese ho avuto modo di apprendere un'inglese avanzato	PC, Smartphone /Tablet		God of War (saga Greca), God of war (saga norrena)		Si		Si		Si	Si ho imparato un'altra lingua		No			Non ho visto astio ne interesse	Non ho preferenze
05/06/2024 7.23.02	Uomo	Generazione Z (1997-2012)	Studente	1-2 ore	Entrambi	Dipende (specifica)	Dipende dal messaggio che il creatore vuole dare	Non saprei		Console, PC, Smartphone /Tablet		God of War (saga Greca), God of war (saga norrena), Altro (specifica)	Call of Duty WWII	Dipende (Specifica)	Dipende dal tipo di gioco e da come viene programmato	Dipende (specifica)	Alcune persone possono fare amicizia online ma, la maggior parte del tempo, altre persone vengono solo insultate per le loro abilita nel gioco, che siano bravi/e o meno	No	Ho potenziato le conoscenze di un altra lingua		Si	Non sono un professore 	Non gioco ai videogiochi	Si	Non ho preferenze
05/06/2024 11.40.08	Uomo	Generazione Z (1997-2012)	Studente	7>	Entrambi	Si		Si	Roblox	Console, PC, Smartphone /Tablet		Altro (specifica)	Euro truck simulator 2	Si		No		No	Si ho imparato un'altra lingua		Si	Lati positivi	Si	Si	Preferisco la compagnia di chi videogioca
05/06/2024 13.17.27	Donna	Generazione Z (1997-2012)	Studente	1-2 ore	Single player	Dipende (specifica)	Dipende dalla tipologia, ad esempio i videogiochi violenti non penso siano molto costruttivi.	Non saprei		Smartphone /Tablet		Nessuno		Dipende (Specifica)	Magari sono formativi in quanto implicano l’utilizzo di logica e ragionamenti o l’uso della creatività.	Dipende (specifica)	Si possono essere un alternativa ma non deve essere la modalità di socializzazione principale.	Si	Ho potenziato le conoscenze di un altra lingua		No			Si	Non ho preferenze
05/06/2024 17.55.43	Uomo	Generazione Z (1997-2012)	Studente	1-2 ore	Entrambi	Si		Si	minecaft	Console, Smartphone /Tablet		Assassin's creed (saga), God of War (saga Greca)		Si		Si		Si	Ho potenziato le conoscenze di un altra lingua		Si			No	Preferisco la compagnia di chi videogioca
06/06/2024 15.49.02	Uomo	Generazione Z (1997-2012)	Studente	1-2 ore	Entrambi	Si		Si		Console, PC, Smartphone /Tablet		Altro (specifica)	Vari call of duty come per esempio call of duty ww2	Si		Si		Si	Ho potenziato le conoscenze di un altra lingua		Si			Si	Non ho preferenze
