Informazioni cronologiche,Which continent are you from?,Gender,Age,Education degree,"On avarage, how much time do you spend  playing video games per day  ?",What style of video game do you prefer?,"If you selected ""Other"", please specify here",Do you believe video games are a form of art?,"If you selected ""It depends,"" you can specify here.",Is there a video game that has taught you something useful for your academic or professional education?,"If you pressed ""Yes,"" please write which video games have been more useful to you.",Which device do you prefer when it comes to gaming?,"
If you selected ""Other,"" please specify here",Which video games do you believe have enriched you culturally regarding mythology or history?,"If you selected ""Other,"" please respond here","
Do you think it's possible to use video games that have not been designed for educational purposes as educational tools?","If you selected ""It depends,"" you can specify here",Do you believe online video games can facilitate connections between people and offer an alternative to traditional social interaction?,"If you selected ""It depends,"" you can specify here.",Have you ever thought about creating a video game?,"Do you think a video game has inspired you to deepen your knowledge on a subject (for example, literary, cultural, historical, social, scientific, artistic, etc.)?","
Have you ever learned another language or improved your language skills through video games, both online and in single-player mode?","
If you selected ""Other,"" please specify here","In your opinion, is it possible to compare the narrative importance of a video game to that of more traditional media such as books, films, or animation products?",Do you believe that video games have taught you to solve problems in a creative and original way (problem solving)?,"Do you engage in  sport or physical activity?
","Do you think Esports (electronic sports) can be considered a professional practice (for example, League of legends, Counter-strike, Street fighter, StarCraft, Assetto Corsa)?","
Have you improved your social skills thanks to video games? (e.g., communication, expression, empathy, etc.)","Do you prefer the company of people who don't play video games, or of people who share this passion with you?"
04/03/2024 4.55.22,Europe,Male,Millennials (1981-1996),Elementary school diploma,7 hours or more,Single player,,Yes,,I don't know,,"Console, PC",,"God of War (saga Greca), God of war (saga norrena)",,Yes,,I refrain from judgment.,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",Yes,No,I prefer the company of gamers
04/03/2024 6.32.11,Asia,Male,Generation Z (1997-2012),High school diploma or equivalent,7 hours or more,Single player,,Yes,,I don't know,,PC,,Hades,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,Yes,Yes,I prefer the company of gamers
04/03/2024 15.41.07,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,"The Arkane studios games, they taught me the importance of putting agency in the hands of the player. ",Console,,God of war (saga norrena),,Yes,,Yes,,I have done it.,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
04/03/2024 17.24.03,America,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,Dark Souls I-III,PC,,Hades,,Yes,,Yes,,I have done it.,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
04/03/2024 17.26.19,Asia,Male,Generation Z (1997-2012),Middle school diploma,4-6 hours,Both,,It depends (please specify),whether if it does spice things up or not,I don't know,,"PC, Smartphone /Tablet",,No video game has enriched me culturally in terms of mythology or history.,,It depends (please specify),anything involved violence can't be used as learning,No,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,Rarely or almost never.,No,No,I have no preference
04/03/2024 17.26.33,Europe,Female,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Multiplayer Online,,Yes,,I don't know,,"Console, Portable consoles, PC",,Assassin's creed (saga),,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
04/03/2024 17.30.44,Europe,Other,Generation Z (1997-2012),None,4-6 hours,Single player,,Yes,,I don't know,,PC,,Other (please specify),I have a ,It depends (please specify),"Although I could see some of them like that, others would be harder to do so.",Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
04/03/2024 17.34.31,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,I don't play regularly,Both,,Yes,,No,,"Console, PC",,Other (please specify),"Red Dead Redemption 2, set in the dying days of the Wild West in 1899 is an incredible experience that's historical accuracy is unmatched in any other gaming experience.",Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,No,Rarely or almost never.,Yes,Yes,I have no preference
04/03/2024 17.49.54,America,Male,Millennials (1981-1996),High school diploma or equivalent,7 hours or more,Single player,,Yes,,Yes,Factorio,PC,,Age of Empire,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,No,Yes,Rarely or almost never.,Yes,Yes,I prefer the company of gamers
04/03/2024 17.50.25,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,No,,"PC, Smartphone /Tablet",,"God of War (saga Greca), God of war (saga norrena), Sid Meier's Civilization",,No,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
04/03/2024 17.50.41,Asia,Female,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,Yes,,PC,,No video game has enriched me culturally in terms of mythology or history.,,No,,Yes,,I have done it.,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,No,I have no preference
04/03/2024 18.09.11,America,Female,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,Yes,"Starcraft (I and II), and Fire Emblem both helped with Strategy and quick thinking/thinking on my feet. Overwatch (one not two) helped showcase teamwork, but mostly how not to react","Console, PC, Smartphone /Tablet",,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,Other (Specify),"I’ve been trying to learn another language to be able to talk to players that don’t speak English, but I haven’t been successful ",Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
04/03/2024 18.12.17,America,Male,Generation Z (1997-2012),Middle school diploma,4-6 hours,Single player,,It depends (please specify),"Some games are art, some are not. Games like “The Beginners Guide” I would call art because they have something to say, but many games additionally have no deeper meaning and are just fun for fun’s sake; those I wouldn’t call art. Not in a bad way to clarify, many of my favourite games are not art in my opinion.",No,,PC,,Other (please specify),The Binding of Isaac got me to do research and explore aspects of religious mythology & history; something I had never cared for previously.,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,No,Yes,I have no preference
04/03/2024 18.51.28,America,Male,Generation Z (1997-2012),High school diploma or equivalent,I don't play regularly,Single player,"I didn't, but to explain why I chose single player: While I do enjoy playing with friends, ",It depends (please specify),"It's complicated, because what would you count as art? Would you count the pretty UI of a soulles mobile game as art? There was human effort put into it (Hopefully) so it must count, right? While I don't have the answer to that, I do feel like the games I would call art are those that try to send a message across, like say, a story game",I don't know,"UT/DR, I honestly don't play many videogames but those two left the biggest impact on my life. Mainly because of the community. Now, would I say they helped me academically? Not really, but it did kickstart my art journey. Seeing so many people create so many cool things just for the sake of making them and bringing others joy inspired me to learn about multiples forms art, and wanting to make my own cool stuff!","PC, Smartphone /Tablet",,No video game has enriched me culturally in terms of mythology or history.,,Yes,I suppose any moderately complex videogame could help a person develop better problem solving skills,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",No,Yes,I prefer the company of gamers
04/03/2024 22.17.12,America,Male,Generation Z (1997-2012),None,2-3 hours,Both,,Yes,,Yes,Portal helped with my puzzle solving skills. As a elementary student I played a lot of educational games ,"Console, Portable consoles, PC",,No video game has enriched me culturally in terms of mythology or history.,,"Yes, and I use them",,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
04/03/2024 23.06.58,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,Yes,"Minecraft redstone was the gateway for me to learn real electrical circuit design, which I now create professionally",PC,,Other (please specify),"The Binding of Isaac, in regards to christianity",Yes,,Yes,,I have done it.,Yes,Other (Specify),I'm only as proficient at typing as I am because of my time spent playing online games as a child,Yes,Yes,"Yes, every week.",No,Yes,I have no preference
04/03/2024 23.43.38,America,Male,Generation Z (1997-2012),Middle school diploma,Less than an hour,Single player,,Yes,,No,,PC,,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,No,"Yes, every week.",Yes,No,I have no preference
05/03/2024 4.59.41,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,I don't know,,"Console, Smartphone /Tablet",,God of war (saga norrena),,Yes,,Yes,,Yes,No,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,No,I prefer the company of gamers
05/03/2024 22.29.53,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,4-6 hours,Both,,Yes,,Yes,Dark Souls / Soulsborne series,"Portable consoles, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades",,"Yes, and I use them",,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
05/03/2024 23.06.33,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,4-6 hours,Single player,,Yes,,No,,"Portable consoles, PC",,"Assassin's creed (saga), God of War (saga Greca), Hades, Age of Empire, Other (please specify)","Empire Earth, Age of Mythology, Impervm",Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,Yes,I prefer the company of gamers
07/03/2024 9.20.12,America,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Multiplayer Online,,Yes,,No,,PC,,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,No,"Yes, every week.",Yes,No,I prefer the company of gamers
07/03/2024 16.20.49,Asia,Male,Millennials (1981-1996),Bachelor's degree or higher,Less than an hour,Single player,,Yes,,No,,"Portable consoles, PC, VR, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire",,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",No,Yes,I have no preference
08/03/2024 1.48.28,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Multiplayer Online,,Yes,,No,,PC,,No video game has enriched me culturally in terms of mythology or history.,,No,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,No,No,"Yes, every day.",Yes,Yes,I prefer the company of gamers
08/03/2024 13.19.24,Europe,Male,Millennials (1981-1996),High school diploma or equivalent,2-3 hours,Single player,,It depends (please specify),,No,,"Portable consoles, PC",,"Age of Empire, Sid Meier's Civilization, Other (please specify)",Age of Mythology,It depends (please specify),,It depends (please specify),,Yes,Yes,"No, I haven't learned another language.",,Yes,No,Less than once a week.,No,No,I have no preference
08/03/2024 14.08.53,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,4-6 hours,Both,,Yes,,I don't know,,PC,,"God of War (saga Greca), God of war (saga norrena), Sid Meier's Civilization, Other (please specify)",Mount and blade + expantions,It depends (please specify),To provide some full complete knowledge the game should have already become something else then a game.,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,No,I have no preference
08/03/2024 14.09.54,Asia,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,Yes,"Civilization (project management), X-Com (contingency planning), Star Knights (logistics)","PC, Smartphone /Tablet",,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
08/03/2024 14.27.34,Europe,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Both,,Yes,,Yes,"The legend of Zelda taught me how to manage my stress, civ6 taught me to be organised, world of warship taught me to not panikduring stressful times.",Console,,"Sid Meier's Civilization, Other (please specify)",World of warship taught me so much about WW2 and how mentalities evolved at that time,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",No,No,I have no preference
08/03/2024 14.54.06,America,Male,Millennials (1981-1996),Bachelor's degree or higher,I don't play regularly,Single player,,No,,No,,"Console, PC",,Sid Meier's Civilization,,Yes,,I refrain from judgment.,,No,No,"Yes, I have learned another language.",,Yes,No,"Yes, every day.",No,No,I have no preference
08/03/2024 15.07.45,Europe,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,Yes,,PC,,"Assassin's creed (saga), Hades, Age of Empire, Sid Meier's Civilization",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,No,I prefer the company of gamers
08/03/2024 15.39.05,America,Male,Generation Z (1997-2012),High school diploma or equivalent,7 hours or more,Both,,Yes,,Yes,,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Sid Meier's Civilization",,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,No,I prefer the company of gamers
08/03/2024 16.13.17,Europe,Male,Millennials (1981-1996),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,Sandbox/simulators,PC,,Other (please specify),Hearts of Iron,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,Rarely or almost never.,Yes,Yes,I have no preference
08/03/2024 16.30.43,America,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,No,,"Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), Sid Meier's Civilization",,Yes,,Yes,,Yes,No,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",No,No,I have no preference
08/03/2024 19.27.11,America,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,Yes,,PC,,Sid Meier's Civilization,,Yes,,No,,Yes,Yes,I have enhanced my knowledge of another language,,No,Yes,"Yes, every day.",No,No,I prefer the company of gamers
08/03/2024 20.14.22,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Both,,Yes,,Yes,"I was in my first year of dutch high school, we had besides dutch classes, also german, french and english classes. I was very bad at everything but dutch.  When i started to play world of warcraft over summer holiday, i was forced to learn english. Ever since then i consider english my second language.  I also believe it has helped me with problem solving, but have no examples.",PC,,Other (please specify),"Age of mythology has taught me a lot about egyptian, greek and norse gods. Or at least made me interested in them.  Crusader kings 2 has taught me about the middle ages, and also made me interested to look things up",It depends (please specify),"That seems really hard, most games have been designed to be fun, not teach you anything. But it could be possible",Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",Yes,No,I prefer the company of gamers
08/03/2024 20.30.22,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,I don't know,,Console,,"Assassin's creed (saga), God of war (saga norrena), Sid Meier's Civilization, Ryse son of rome",,Yes,,It depends (please specify),Used to more so now game chat is dead,No,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
08/03/2024 21.29.46,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,4-6 hours,Both,,Yes,,Yes,Civilization 5 and 6. For international studies. ,PC,,Sid Meier's Civilization,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,Yes,Yes,I have no preference
08/03/2024 21.51.17,America,Female,Millennials (1981-1996),Bachelor's degree or higher,Less than an hour,Both,,Yes,,No,,"Console, PC",,"Assassin's creed (saga), Sid Meier's Civilization",,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,Less than once a week.,Yes,No,I have no preference
08/03/2024 22.06.06,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,4-6 hours,Both,,Yes,,Yes,"Civilization, Papers Please, Assassins Creed, God of War","Console, Portable consoles, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Sid Meier's Civilization",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
08/03/2024 22.18.16,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,No,,"Console, PC",,Sid Meier's Civilization,,Yes,,It depends (please specify),I believe video games cannot be a substitute for traditional social interaction. But it can be an enhancement ,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",No,No,I have no preference
08/03/2024 22.50.00,Europe,Male,Generation X (1965-1980),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,I don't know,,PC,,Sid Meier's Civilization,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,No,I have no preference
09/03/2024 0.40.44,America,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,"Strategy games and RPG’s helped me understand “real world” implementation of geometry, fractions, and percentages. Also got me interested in history.",PC,,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization, Other (please specify)",Total War,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
09/03/2024 0.56.07,Europe,Male,Generation Z (1997-2012),Bachelor's degree or higher,4-6 hours,Single player,,No,,Yes,Civ ,"Console, PC",,Assassin's creed (saga),,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
09/03/2024 3.54.05,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Both,,Yes,,I don't know,,"Console, Portable consoles, PC",,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization",,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,No,Yes,"Yes, every day.",Yes,No,I have no preference
09/03/2024 4.30.35,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,Less than an hour,Both,,Yes,,I don't know,,PC,,Assassin's creed (saga),,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
09/03/2024 7.50.12,America,Male,Millennials (1981-1996),High school diploma or equivalent,I don't play regularly,Both,,Yes,,I don't know,,"Console, PC",,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization, Other (please specify)","Age of Mythology, The Forgotten City",Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
09/03/2024 8.18.06,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,Yes,"Civilization, Subnautica ","Console, Portable consoles, PC",,"Assassin's creed (saga), God of War (saga Greca), Sid Meier's Civilization",,It depends (please specify),Greatly depends on game and context of lesson,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",No,No,I have no preference
09/03/2024 12.53.15,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Both,,Yes,,Yes,Team Fortress 2,PC,,"Assassin's creed (saga), Hades, Sid Meier's Civilization, Other (please specify)",everything that touches on real world history or ojilisophy is enriching in some way,It depends (please specify),"For very specific purposes, yes",Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
09/03/2024 18.18.02,America,Male,Millennials (1981-1996),High school diploma or equivalent,4-6 hours,Single player,,Yes,,Yes,Sid Meier's Civilization has taught me about other counties leaders and cities names,PC,,Sid Meier's Civilization,,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,Less than once a week.,Yes,Yes,I prefer the company of gamers
